feature,importance
emb_1495,0.00048825126041500096
emb_1136,0.0004875711304501189
emb_962,0.00048339312382122154
emb_1470,0.0004803474436172206
emb_1115,0.00047949464343840435
emb_1499,0.000476892675008159
emb_839,0.000474701450092526
emb_257,0.00047391859511451055
emb_131,0.0004737003950087434
emb_1058,0.0004726825243360129
emb_1508,0.00046756588148236624
emb_1534,0.00046746792616078386
emb_647,0.00046693102438509964
emb_1367,0.00046679673505587013
emb_315,0.0004645475602882544
emb_664,0.00046390955307049205
emb_235,0.00046146474139518166
emb_1497,0.0004591706503239578
emb_271,0.0004583006847141309
emb_1466,0.0004572321005203637
emb_1215,0.00045624277516592726
emb_592,0.0004558857292149432
emb_253,0.0004558256815946586
emb_1201,0.0004555430584915214
emb_673,0.0004523784226447192
emb_1440,0.00045082824703010857
emb_1276,0.0004506189151734509
emb_173,0.0004505782483167284
emb_209,0.00044980383487498276
emb_996,0.00044779323120630235
emb_254,0.00044658993211160963
emb_1458,0.0004435914534300065
emb_748,0.0004418752335708197
emb_837,0.0004404646814127136
emb_514,0.0004389566588177441
emb_977,0.00043839834743411446
emb_230,0.00043475687968839256
emb_124,0.0004342273240936806
emb_128,0.0004338646108785909
emb_448,0.0004338124500607166
emb_999,0.00042406620259988675
TEMP_reference_type_1,0.000423906539025255
emb_1419,0.0004237217235267976
emb_1401,0.0004214556041751971
emb_858,0.0004201515433617401
emb_1034,0.00041901403016534006
emb_65,0.0004189571802232408
emb_868,0.000417581753816525
emb_1125,0.0004174727426510258
emb_507,0.0004156790889361149
emb_417,0.0004152181776017928
emb_117,0.00041490674126308606
emb_577,0.00041434560977681985
emb_716,0.00041308937239108607
emb_611,0.0004125750229430204
emb_150,0.00040674537358000045
emb_843,0.0004056129072079176
emb_1503,0.0004054905372841724
emb_1438,0.0004048834902841454
emb_329,0.0004025817423148826
emb_449,0.0004012294691716669
emb_12,0.000400971991854511
emb_1341,0.00039922031027834717
emb_864,0.0003958266805719948
emb_967,0.00039558215910356936
emb_1126,0.0003953735252508598
emb_1424,0.0003950812880840225
emb_761,0.0003944912427783642
emb_1286,0.000393330730409483
